Time, Position (X), Position (Y), Position (Z), Orientation (X), Orientation (Y), Orientation (Z)
1.449201,0,-10.29873,1,0,1,0
1.454279,0,-10.29873,1,0,1,0
1.45869,0,-10.29873,1,0,1,0
1.463928,0,-10.5891,1,0,1,0
1.469737,0,-10.5891,1,0,1,0
1.474897,0,-10.5891,1,0,1,0
1.478608,0,-10.5891,1,0,1,0
1.483829,0,-10.8834,1,0,1,0
1.489237,0,-10.8834,1,0,1,0
1.493432,0,-10.8834,1,0,1,0
1.498531,0,-10.8834,1,0,1,0
1.50311,0,-11.18163,1,0,1,0
1.508017,0,-11.18163,1,0,1,0
1.5127,0,-11.18163,1,0,1,0
1.517418,0,-11.18163,1,0,1,0
1.522578,0,-11.48377,1,0,1,0
1.53255,0,-11.48377,1,0,1,0
1.536724,0,-11.48377,1,0,1,0
1.542552,0,-11.78985,1,0,1,0
1.55045,0,-11.78985,1,0,1,0
1.556254,0,-11.78985,1,0,1,0
1.561763,0,-12.09984,1,0,1,0
1.56709,0,-12.09984,1,0,1,0
1.571678,0,-12.09984,1,0,1,0
1.576374,0,-12.09984,1,0,1,0
1.581385,0,-12.41376,1,0,1,0
1.589804,0,-12.41376,1,0,1,0
1.594197,0,-12.41376,1,0,1,0
1.599534,0,-12.41376,1,0,1,0
1.604679,0,-12.73161,1,0,1,0
1.610047,0,-12.73161,1,0,1,0
1.614498,0,-12.73161,1,0,1,0
1.619288,0,-12.73161,1,0,1,0
1.624793,0,-13.05338,1,0,1,0
1.630741,0,-13.05338,1,0,1,0
1.636137,0,-13.05338,1,0,1,0
1.641875,0,-13.37907,1,0,1,0
1.6479,0,-13.37907,1,0,1,0
1.653442,0,-13.37907,1,0,1,0
1.658123,0,-13.37907,1,0,1,0
1.662792,0,-13.70868,1,0,1,0
1.668504,0,-13.70868,1,0,1,0
1.671851,0,-13.70868,1,0,1,0
1.675315,0,-13.70868,1,0,1,0
1.678992,0,-13.70868,1,0,1,0
1.68383,0,-14.04222,1,0,1,0
1.688655,0,-14.04222,1,0,1,0
1.69283,0,-14.04222,1,0,1,0
1.697331,0,-14.04222,1,0,1,0
1.701166,0,-14.37969,1,0,1,0
1.705877,0,-14.37969,1,0,1,0
1.708974,0,-14.37969,1,0,1,0
1.712827,0,-14.37969,1,0,1,0
1.716296,0,-14.37969,1,0,1,0
1.71964,0,-14.37969,1,0,1,0
1.723253,0,-14.72108,1,0,1,0
1.728181,0,-14.72108,1,0,1,0
1.734257,0,-14.72108,1,0,1,0
1.737297,0,-14.72108,1,0,1,0
1.740763,0,-15.06639,1,0,1,0
1.745096,0,-15.06639,1,0,1,0
1.749351,0,-15.06639,1,0,1,0
1.753557,0,-15.06639,1,0,1,0
1.758022,0,-15.06639,1,0,1,0
1.763422,0,-15.41562,1,0,1,0
1.768563,0,-15.41562,1,0,1,0
1.772136,0,-15.41562,1,0,1,0
1.775681,0,-15.41562,1,0,1,0
1.779208,0,-15.41562,1,0,1,0
1.78383,0,-15.76878,1,0,1,0
1.790714,0,-15.76878,1,0,1,0
