Time, Position (X), Position (Y), Position (Z), Orientation (X), Orientation (Y), Orientation (Z)
2.066881,0,-21.12505,1,0,1,0
2.088364,0,-21.53707,1,0,1,0
2.097315,0,-21.53707,1,0,1,0
2.101382,0,-21.95301,1,0,1,0
2.121379,0,-22.37288,1,0,1,0
2.130102,0,-22.37288,1,0,1,0
2.13426,0,-22.37288,1,0,1,0
2.13881,0,-22.37288,1,0,1,0
2.155841,0,-22.79667,1,0,1,0
2.163842,0,-23.22438,1,0,1,0
2.172146,0,-23.22438,1,0,1,0
2.189274,0,-23.65602,1,0,1,0
2.200721,0,-24.09159,1,0,1,0
2.214924,0,-24.09159,1,0,1,0
2.231034,0,-24.53108,1,0,1,0
2.240198,0,-24.97449,1,0,1,0
2.249502,0,-24.97449,1,0,1,0
2.269804,0,-25.42183,1,0,1,0
2.278162,0,-25.42183,1,0,1,0
2.282229,0,-25.87309,1,0,1,0
2.290997,0,-25.87309,1,0,1,0
2.307967,0,-26.32827,1,0,1,0
2.31884,0,-26.32827,1,0,1,0
2.323605,0,-26.78738,1,0,1,0
2.342332,0,-27.25041,1,0,1,0
2.369326,0,-27.71736,1,0,1,0
2.382621,0,-28.18824,1,0,1,0
2.404969,0,-28.66305,1,0,1,0
2.414176,0,-28.66305,1,0,1,0
2.419535,0,-28.66305,1,0,1,0
2.436067,0,-29.14178,1,0,1,0
2.446425,0,-29.62443,1,0,1,0
2.457342,0,-29.62443,1,0,1,0
2.478532,0,-30.111,1,0,1,0
2.489296,0,-30.6015,1,0,1,0
2.498775,0,-30.6015,1,0,1,0
2.521667,0,-31.59427,1,0,1,0
2.538305,0,-31.59427,1,0,1,0
2.559532,0,-32.09655,1,0,1,0
2.569725,0,-32.60274,1,0,1,0
2.577973,0,-32.60274,1,0,1,0
2.594491,0,-33.11286,1,0,1,0
2.603576,0,-33.6269,1,0,1,0
2.613159,0,-33.6269,1,0,1,0
2.629951,0,-34.14487,1,0,1,0
2.63917,0,-34.14487,1,0,1,0
2.644985,0,-34.66676,1,0,1,0
2.655233,0,-34.66676,1,0,1,0
2.669798,0,-35.19258,1,0,1,0
2.681985,0,-35.72232,1,0,1,0
2.690249,0,-35.72232,1,0,1,0
2.708941,0,-36.25598,1,0,1,0
2.72268,0,-36.79357,1,0,1,0
2.731335,0,-36.79357,1,0,1,0
2.751628,0,-37.33508,1,0,1,0
2.76074,0,-37.88052,1,0,1,0
2.769499,0,-37.88052,1,0,1,0
2.785368,0,-38.42987,1,0,1,0
2.795373,0,-38.42987,1,0,1,0
2.79947,0,-38.42987,1,0,1,0
2.804728,0,-38.98316,1,0,1,0
2.824829,0,-39.54037,1,0,1,0
2.835135,0,-39.54037,1,0,1,0
2.839877,0,-39.54037,1,0,1,0
2.855511,0,-40.1015,1,0,1,0
2.865485,0,-40.66655,1,0,1,0
2.878326,0,-40.66655,1,0,1,0
2.905343,0,-41.80844,1,0,1,0
2.924167,0,-42.38527,1,0,1,0
2.943403,0,-42.96602,1,0,1,0
2.953501,0,-42.96602,1,0,1,0
2.959118,0,-42.96602,1,0,1,0
2.977819,0,-43.55069,1,0,1,0
2.99131,0,-44.13929,1,0,1,0
3.002777,0,-44.73182,1,0,1,0
3.025178,0,-45.32826,1,0,1,0
3.034896,0,-45.32826,1,0,1,0
3.040464,0,-45.92863,1,0,1,0
3.068696,0,-46.53293,1,0,1,0
3.08371,0,-47.14115,1,0,1,0
3.109245,0,-47.75329,1,0,1,0
3.120349,0,-48.36936,1,0,1,0
3.144282,0,-48.98935,1,0,1,0
3.152958,0,-48.98935,1,0,1,0
3.157266,0,-48.98935,1,0,1,0
3.172288,0,-49.61327,1,0,1,0
3.181947,0,-50.2411,1,0,1,0
3.190323,0,-50.2411,1,0,1,0
3.205918,0,-50.87287,1,0,1,0
3.214932,0,-50.87287,1,0,1,0
3.219143,0,-50.87287,1,0,1,0
3.224002,0,-51.50856,1,0,1,0
3.247967,0,-52.14817,1,0,1,0
3.266285,0,-52.7917,1,0,1,0
3.287907,0,-53.43916,1,0,1,0
3.304508,0,-54.09055,1,0,1,0
3.324064,0,-54.74585,1,0,1,0
3.333845,0,-54.74585,1,0,1,0
3.339432,0,-54.74585,1,0,1,0
3.357339,0,-55.40509,1,0,1,0
3.36527,0,-56.06824,1,0,1,0
3.374017,0,-56.06824,1,0,1,0
3.38958,0,-56.73532,1,0,1,0
3.397926,0,-56.73532,1,0,1,0
3.403195,0,-57.40633,1,0,1,0
3.414761,0,-57.40633,1,0,1,0
3.43654,0,-58.08125,1,0,1,0
3.445323,0,-58.76011,1,0,1,0
3.455446,0,-58.76011,1,0,1,0
3.471667,0,-59.44288,1,0,1,0
3.480347,0,-60.12958,1,0,1,0
3.492525,0,-60.12958,1,0,1,0
3.512303,0,-60.82021,1,0,1,0
3.520583,0,-61.51476,1,0,1,0
3.529429,0,-61.51476,1,0,1,0
3.547882,0,-62.21323,1,0,1,0
3.558791,0,-62.21323,1,0,1,0
3.565143,0,-62.91562,1,0,1,0
3.590234,0,-63.62194,1,0,1,0
3.603927,0,-64.33218,1,0,1,0
3.635095,0,-65.04635,1,0,1,0
3.647117,0,-65.76444,1,0,1,0
3.665242,0,-66.48646,1,0,1,0
3.673114,0,-66.48646,1,0,1,0
3.676932,0,-66.48646,1,0,1,0
3.680798,0,-67.21239,1,0,1,0
3.700096,0,-67.94226,1,0,1,0
3.712538,0,-67.94226,1,0,1,0
3.716603,0,-67.94226,1,0,1,0
3.732742,0,-68.67605,1,0,1,0
3.743972,0,-69.41376,1,0,1,0
3.754262,0,-69.41376,1,0,1,0
3.771016,0,-70.1554,1,0,1,0
3.78411,0,-70.90096,1,0,1,0
3.798466,0,-70.90096,1,0,1,0
3.814352,0,-71.65044,1,0,1,0
3.823947,0,-72.40385,1,0,1,0
3.83319,0,-72.40385,1,0,1,0
3.84787,0,-73.16118,1,0,1,0
3.857688,0,-73.16118,1,0,1,0
3.861365,0,-73.92243,1,0,1,0
3.870801,0,-73.92243,1,0,1,0
3.886785,0,-74.68761,1,0,1,0
3.895236,0,-74.68761,1,0,1,0
3.900597,0,-75.45672,1,0,1,0
3.917928,0,-75.45672,1,0,1,0
3.934894,0,-76.22974,1,0,1,0
3.945935,0,-77.0067,1,0,1,0
3.958054,0,-77.0067,1,0,1,0
3.981882,0,-78.57237,1,0,1,0
3.995442,0,-78.57237,1,0,1,0
4.015434,0,-79.3611,1,0,1,0
4.026352,0,-80.15375,1,0,1,0
4.040121,0,-80.95032,1,0,1,0
4.063857,0,-81.75082,1,0,1,0
4.073329,0,-81.75082,1,0,1,0
4.089602,0,-82.55524,1,0,1,0
4.098432,0,-82.55524,1,0,1,0
4.10319,0,-83.36358,1,0,1,0
4.117336,0,-83.36358,1,0,1,0
4.134269,0,-84.17585,1,0,1,0
4.146874,0,-84.99204,1,0,1,0
4.161252,0,-85.81216,1,0,1,0
4.182855,0,-86.6362,1,0,1,0
4.19286,0,-86.6362,1,0,1,0
4.196889,0,-86.6362,1,0,1,0
4.212475,0,-87.46416,1,0,1,0
4.223109,0,-88.29605,1,0,1,0
4.233198,0,-88.29605,1,0,1,0
4.249137,0,-89.13187,1,0,1,0
4.257552,0,-89.13187,1,0,1,0
4.262028,0,-89.9716,1,0,1,0
4.272281,0,-89.9716,1,0,1,0
4.288392,0,-90.81526,1,0,1,0
4.297199,0,-90.81526,1,0,1,0
4.301305,0,-91.66285,1,0,1,0
4.310746,0,-91.66285,1,0,1,0
4.333413,0,-92.51436,1,0,1,0
4.349344,0,-93.36979,1,0,1,0
4.374171,0,-94.22915,1,0,1,0
4.385278,0,-95.09243,1,0,1,0
4.406452,0,-95.95963,1,0,1,0
4.415257,0,-95.95963,1,0,1,0
4.421885,0,-96.83076,1,0,1,0
4.444738,0,-97.70582,1,0,1,0
4.454392,0,-97.70582,1,0,1,0
4.460028,0,-98.58479,1,0,1,0
4.47987,0,-98.58479,1,0,1,0
4.484437,0,-99.4677,1,0,1,0
4.492686,0,-99.4677,1,0,1,0
4.499553,0,-99.4677,1,0,1,0
4.525654,0,-101.2453,1,0,1,0
4.559552,0,-102.1399,1,0,1,0
4.584807,0,-103.9411,1,0,1,0
4.600491,0,-104.8475,1,0,1,0
4.620618,0,-105.7579,1,0,1,0
4.631108,0,-105.7579,1,0,1,0
4.636335,0,-105.7579,1,0,1,0
4.653321,0,-106.6722,1,0,1,0
4.663846,0,-107.5904,1,0,1,0
4.674981,0,-107.5904,1,0,1,0
4.694631,0,-108.5125,1,0,1,0
4.706673,0,-109.4386,1,0,1,0
4.721974,0,-110.3686,1,0,1,0
4.747872,0,-111.3025,1,0,1,0
4.760489,0,-112.2403,1,0,1,0
4.780674,0,-113.1821,1,0,1,0
4.791347,0,-113.1821,1,0,1,0
4.797181,0,-113.1821,1,0,1,0
4.814565,0,-114.1278,1,0,1,0
4.823567,0,-115.0774,1,0,1,0
4.833846,0,-115.0774,1,0,1,0
4.850214,0,-116.0309,1,0,1,0
4.858676,0,-116.0309,1,0,1,0
4.866415,0,-116.9884,1,0,1,0
4.882913,0,-117.9498,1,0,1,0
4.905127,0,-118.9151,1,0,1,0
4.914949,0,-118.9151,1,0,1,0
4.92013,0,-119.8843,1,0,1,0
4.943319,0,-120.8575,1,0,1,0
4.953059,0,-120.8575,1,0,1,0
4.96136,0,-121.8345,1,0,1,0
4.9828,0,-122.8156,1,0,1,0
4.992414,0,-122.8156,1,0,1,0
4.998981,0,-122.8156,1,0,1,0
5.016739,0,-123.8005,1,0,1,0
