Time, Position (X), Position (Y), Position (Z), Orientation (X), Orientation (Y), Orientation (Z)
12.80639,0.1613289,-0.1255981,1.706676,0.05941352,0.9892496,0.1184957
12.82117,0.1613574,-0.1255927,1.706716,0.05947486,0.9892423,0.1185583
12.83441,0.1613563,-0.1256023,1.706752,0.05956328,0.9892459,0.1185518
12.84771,0.1613165,-0.1256338,1.706779,0.059726,0.989256,0.1184796
12.86206,0.1612608,-0.1256784,1.70679,0.05991229,0.9892663,0.1184006
12.87628,0.1611827,-0.1257258,1.706797,0.05999683,0.9892806,0.1182952
12.89025,0.1611146,-0.1257678,1.706794,0.05999624,0.9893001,0.1181726
12.90397,0.160995,-0.1258408,1.706803,0.05995547,0.9893237,0.1180624
12.91776,0.1609075,-0.1259089,1.706808,0.05997121,0.9893405,0.117989
12.93135,0.1608079,-0.1259915,1.706809,0.06016534,0.9893659,0.1178203
12.94572,0.1606949,-0.1260586,1.706819,0.06043808,0.9893851,0.117674
12.96071,0.1605909,-0.1261096,1.706829,0.06058299,0.9893981,0.1175823
12.97377,0.1605105,-0.1261784,1.706825,0.06060524,0.9894184,0.1174503
12.98706,0.1604431,-0.1262504,1.706811,0.06057576,0.9894379,0.1173185
13.00168,0.1603764,-0.1263051,1.706815,0.06057435,0.9894475,0.1172507
13.01553,0.1602952,-0.1263392,1.706849,0.06062886,0.9894497,0.1172392
13.0297,0.160223,-0.1263758,1.70689,0.06079759,0.9894512,0.1172176
13.04318,0.1601919,-0.1264391,1.706918,0.06109891,0.9894489,0.1171688
13.05718,0.160186,-0.1264896,1.706924,0.06129075,0.9894518,0.1170931
13.07135,0.1601899,-0.1265768,1.706923,0.06149781,0.9894568,0.1169722
13.08498,0.1602034,-0.1266637,1.706912,0.06160671,0.9894654,0.1168389
13.09993,0.1602206,-0.1267509,1.706894,0.0616461,0.9894785,0.1166841
13.1122,0.1602475,-0.1268503,1.706867,0.06161387,0.9894972,0.1165203
13.12673,0.1602804,-0.1269357,1.706849,0.06157044,0.9895126,0.1163964
13.14082,0.1603367,-0.1270109,1.706831,0.06157306,0.9895222,0.1163072
13.15472,0.1604337,-0.1271032,1.706809,0.06168136,0.9895266,0.1161871
13.16884,0.1605756,-0.127204,1.706791,0.06195797,0.9895201,0.1160556
13.18259,0.1606933,-0.1272745,1.706783,0.06222293,0.9895024,0.1160184
13.19664,0.1608407,-0.1273648,1.70677,0.06249471,0.9894835,0.1159636
