Time, Position (X), Position (Y), Position (Z), Orientation (X), Orientation (Y), Orientation (Z)
12.90397,-0.05763358,0.3689361,1.716173,-0.4672091,0.6795037,0.401417
12.91776,-0.05698511,0.3711233,1.713754,-0.4747193,0.6812596,0.398112
12.93135,-0.05661958,0.3740563,1.712037,-0.4744302,0.6868287,0.3957588
12.94572,-0.05555711,0.376628,1.710263,-0.4706087,0.6955855,0.3933628
12.96071,-0.05495052,0.3792397,1.708279,-0.4674434,0.702819,0.3953257
12.97377,-0.05443653,0.3814969,1.705862,-0.4638088,0.7130675,0.394208
12.98706,-0.05454713,0.3837677,1.703375,-0.4638918,0.7207021,0.3924014
13.00168,-0.05386466,0.3856934,1.700676,-0.4649925,0.7219479,0.3899444
13.01553,-0.05414138,0.3877871,1.698257,-0.4683129,0.7262187,0.3866571
13.0297,-0.05366476,0.3896953,1.695611,-0.471532,0.7291801,0.3848572
13.04318,-0.05314419,0.3917869,1.693214,-0.4699564,0.7359704,0.3822022
13.05718,-0.05289709,0.3939712,1.690736,-0.4670636,0.7433667,0.3805677
13.07135,-0.05295011,0.3957511,1.688049,-0.4652717,0.7506488,0.3790265
13.08498,-0.05293382,0.3976629,1.68559,-0.4651983,0.7557816,0.3756976
13.09993,-0.0532419,0.3994707,1.683007,-0.4665691,0.7590286,0.3736308
13.1122,-0.05316173,0.4011392,1.680684,-0.467573,0.7618971,0.3750023
13.12673,-0.05323336,0.4032383,1.678338,-0.4637095,0.7681469,0.3774389
13.14082,-0.05351131,0.4051641,1.67634,-0.4584609,0.7759923,0.3784629
13.15472,-0.05368513,0.4069459,1.674208,-0.4562121,0.7808917,0.3784305
13.16884,-0.05380566,0.4085388,1.671888,-0.4558247,0.7836308,0.3781479
13.18259,-0.05382436,0.4102299,1.66992,-0.4537027,0.7866956,0.3794043
13.19664,-0.0539155,0.412326,1.668038,-0.4486373,0.7903618,0.3823246
13.20999,-0.05400702,0.4140567,1.66598,-0.4423479,0.7957492,0.3842393
13.22451,-0.05422216,0.4156862,1.664287,-0.4360928,0.8011569,0.3863114
13.2393,-0.05443637,0.4174257,1.663204,-0.4281963,0.8060254,0.391021
13.25188,-0.05468538,0.4191796,1.661873,-0.4221961,0.8084787,0.3959571
13.26618,-0.05463374,0.4207486,1.66048,-0.4162512,0.8099846,0.4015996
13.27993,-0.05459552,0.4225135,1.658884,-0.4118496,0.8121585,0.4035182
13.29353,-0.0546586,0.424098,1.657018,-0.4068558,0.8149123,0.4046828
13.30896,-0.054635,0.4256661,1.655417,-0.4003247,0.8189345,0.4054165
13.32218,-0.05465193,0.4273211,1.654032,-0.3922791,0.8230584,0.4072531
13.33586,-0.05471423,0.4291375,1.652894,-0.3833081,0.8263932,0.4108106
13.34933,-0.05453767,0.4306935,1.651585,-0.3761147,0.8277234,0.4154778
13.3639,-0.05476993,0.432342,1.649064,-0.370794,0.8289493,0.4180616
13.37868,-0.05491953,0.4338467,1.647005,-0.3654699,0.8318771,0.41744
13.39132,-0.05505053,0.4353389,1.64508,-0.3599097,0.8349203,0.4163788
13.40566,-0.05502609,0.4367905,1.643104,-0.3544615,0.83718,0.4164592
13.41957,-0.0549795,0.4383473,1.641529,-0.3461983,0.8394796,0.4184972
13.43309,-0.05489687,0.4398657,1.640098,-0.3358697,0.8407912,0.4236158
13.44804,-0.05470001,0.4412365,1.638371,-0.3252746,0.8420953,0.4282896
13.46137,-0.05484473,0.4422989,1.635909,-0.3172461,0.8443648,0.4287169
13.4751,-0.05471797,0.4433002,1.633803,-0.3099362,0.8469574,0.4273438
13.48928,-0.05434022,0.4443931,1.63185,-0.3000823,0.8489686,0.4283955
13.50307,-0.05380881,0.4456478,1.630211,-0.2867458,0.85048,0.431846
13.518,-0.05305371,0.4467735,1.62885,-0.269648,0.8508024,0.4381022
13.53052,-0.0521584,0.447811,1.627239,-0.2526958,0.8505985,0.4446693
13.54472,-0.05146533,0.4487232,1.624548,-0.2371099,0.8520202,0.4475672
13.55886,-0.0509937,0.4494997,1.621583,-0.2259658,0.8552781,0.4444527
13.57209,-0.05062341,0.4500788,1.618468,-0.2171775,0.8583914,0.440915
13.58747,-0.05016281,0.4507901,1.615879,-0.2059282,0.8605548,0.4390282
13.60086,-0.04979658,0.4514928,1.613911,-0.1912223,0.860493,0.441069
13.61472,-0.04926055,0.4519805,1.612418,-0.1749733,0.8573228,0.4476917
13.62812,-0.0490076,0.4522891,1.610012,-0.1608239,0.8553159,0.4522579
13.64691,-0.04876959,0.4527792,1.607385,-0.1473928,0.8550356,0.4526506
13.65796,-0.048345,0.453106,1.604525,-0.1369419,0.8566995,0.4499282
13.6686,-0.04845761,0.45338,1.601836,-0.1277475,0.8591133,0.4463662
13.68305,-0.04851708,0.4534072,1.599757,-0.1175234,0.8586673,0.4464397
13.69713,-0.04831683,0.4534933,1.598099,-0.1052117,0.8562758,0.4485944
13.71059,-0.04799931,0.4536744,1.596208,-0.09018767,0.8544884,0.451066
13.72604,-0.04770282,0.4536422,1.594748,-0.0756797,0.8499923,0.4554342
13.73961,-0.04797807,0.4534862,1.592294,-0.06443778,0.8492727,0.4557208
13.75284,-0.04832065,0.4533876,1.589874,-0.05568786,0.8489671,0.4538188
13.76736,-0.04872634,0.45307,1.587435,-0.04886782,0.8493456,0.4511025
13.78144,-0.0491066,0.4528702,1.585064,-0.04035082,0.8494063,0.4484723
13.79629,-0.04916505,0.4526581,1.582886,-0.02774181,0.847708,0.4477645
13.80919,-0.04931549,0.4523708,1.580978,-0.01304979,0.8437369,0.4496245
13.8233,-0.04941583,0.4519896,1.579049,0.003011987,0.8383288,0.452621
13.83724,-0.04948951,0.4515457,1.576683,0.01974294,0.8327072,0.4547167
13.85082,-0.05009799,0.4509898,1.573725,0.03147646,0.8312136,0.4528324
13.86584,-0.05105535,0.4504169,1.570431,0.03679461,0.8339121,0.4464572
13.87885,-0.05214453,0.4497286,1.567151,0.03988878,0.8379238,0.438794
13.89249,-0.05286557,0.4490193,1.563927,0.04629615,0.8401257,0.4325364
13.90684,-0.05319066,0.4482742,1.560675,0.05849423,0.8400894,0.4272473
13.92082,-0.05339126,0.4475223,1.557629,0.07511754,0.8377489,0.4233662
13.93577,-0.05357534,0.4466462,1.554865,0.09509452,0.8325927,0.4220234
13.94838,-0.05434947,0.445601,1.552508,0.1080661,0.8280371,0.4220229
13.96272,-0.05553996,0.4445216,1.54972,0.1149242,0.8265874,0.4199585
13.97661,-0.05637789,0.4434859,1.546657,0.1218846,0.8267247,0.4152786
13.98991,-0.05699106,0.4423485,1.543262,0.130904,0.8279227,0.4089077
14.00524,-0.05742785,0.4409504,1.539333,0.1452468,0.8281241,0.4010466
14.0184,-0.05779955,0.4396945,1.535591,0.1617273,0.8262696,0.393592
14.03187,-0.05818292,0.4380805,1.531852,0.1779579,0.8237454,0.3865517
14.04631,-0.05900212,0.4363572,1.528137,0.1914756,0.821686,0.3810281
